2023-04-15 19:47:03,899 - cli.py - This is Paynt version 0.1.0.
2023-04-15 19:47:03,899 - sketch.py - loading sketch from ./models/pomdp/no-goal-state/blind-nanny/sketch.templ ...
2023-04-15 19:47:03,901 - prism_parser.py - PRISM model type: PrismModelType.POMDP
2023-04-15 19:47:03,901 - prism_parser.py - loading properties from ./models/pomdp/no-goal-state/blind-nanny/sketch.props ...
2023-04-15 19:47:03,902 - prism_parser.py - found the following specification: constraints: LRA>3/5 ["goal1"],LRA>3/5 ["goal2"], optimality objective: none
2023-04-15 19:47:03,917 - sketch.py - constructed explicit quotient having 27 states and 90 actions
2023-04-15 19:47:03,917 - sketch.py - found the following specification constraints: LRA>3/5 ["goal1"],LRA>3/5 ["goal2"], optimality objective: none
2023-04-15 19:47:03,918 - quotient_pomdp.py - Constructed POMDP having 15 observations.
2023-04-15 19:47:03,918 - quotient_pomdp.py - Unfolding POMDP using the following memory allocation vector: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] ...
2023-04-15 19:47:03,918 - quotient_pomdp.py - Constructed quotient MDP having 27 states and 90 actions.
2023-04-15 19:47:03,919 - synthesizer.py - Synthesis initiated.
> Progress 3.322%, elapsed 3.1 s, iters = (958, 0), opt = -
> Progress 3.3221%, elapsed 31.1 s, iters = (976, 0), opt = -
> Progress 3.3221%, elapsed 56.5 s, iters = (977, 0), opt = -
> Progress 3.3221%, elapsed 56.5 s, iters = (978, 0), opt = -
> Progress 3.3221%, elapsed 56.5 s, iters = (979, 0), opt = -
> Progress 3.3221%, elapsed 56.5 s, iters = (980, 0), opt = -
> Progress 3.3221%, elapsed 56.5 s, iters = (981, 0), opt = -
> Progress 3.3221%, elapsed 106.2 s, iters = (982, 0), opt = -
> Progress 3.3222%, elapsed 106.2 s, iters = (983, 0), opt = -
> Progress 3.3222%, elapsed 106.2 s, iters = (984, 0), opt = -
> Progress 3.3222%, elapsed 106.2 s, iters = (985, 0), opt = -
> Progress 3.3222%, elapsed 106.2 s, iters = (986, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (987, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (988, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (989, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (990, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (991, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (992, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (993, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (994, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (995, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (996, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (997, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (998, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (999, 0), opt = -
> Progress 3.3226%, elapsed 106.2 s, iters = (1000, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1001, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1002, 0), opt = -
> Progress 3.3227%, elapsed 106.2 s, iters = (1003, 0), opt = -
